id_service,id_acteur,perspective_corpus,portee_agence_reseau,operateur_identifie,support_local,nom_service,domaine,mode_livraison,statut_maturite,recurrence,couverture_horaire,niveaux_support,chaine_escalade,multi_tenant,psa_rmm,automatisation,prix_public,unite_facturation_publique,engagement_public,segments_cibles,secteurs_cibles,geographie,technologies_citees,id_source,passage_justificatif,date_observation,niveau_confiance,statut_validation
SRV-PUB-ADVENS-001,ENT-PUB-ADVENS-001,DEMANDE_MSP,,,,mySOC Managed Detection & Response,SOC / MDR,opéré en propre,Offre publiée,,24/7 déclarée,,,non établi,non établi,Machine learning; SOAR mySOC; playbooks; remédiation automatisable,,non établie,non établi,Non établi,multi-secteurs,France; Europe selon déclaration Advens,Open XDR mySOC; machine learning; Open CTI; SOAR mySOC,SRC-PUB-ADVENS-001,"Le service Managed Detection & Response vous fait gagner en visibilité, sur tous les périmètres de votre organisation. L’objectif : stopper au plus tôt les attaques et garantir la continuité de votre activité. Alors que les données sont multiples, hétérogènes et dispersées, nos analystes les visualisent, les collectent et les décryptent 24h24 et 7j/7. Leur vigilance accrue est augmentée de notre plateforme Open XDR, enrichie d’intelligence artificielle.",46220.5,"Élevée sur l’offre déclarée ; usage, qualité et rentabilité non prouvés",À valider
SRV-PUB-ADVENS-002,ENT-PUB-ADVENS-001,DEMANDE_MSP,,,,mySOC for Endpoints,SOC / MDR,piloté pour le client,Offre publiée,,24/7 déclarée,,,non établi,non établi,Traque continue; isolation; quarantaine; arrêt de processus; rollback,,non établie,non établi,Non établi,multi-secteurs,France; Europe selon déclaration Advens,Microsoft Defender; HarfangLab; Cybereason; SentinelOne; CrowdStrike,SRC-PUB-ADVENS-002,"Quelle que soit leur localisation, mySOC for Endpoints protège 24h/24 et 7j/7 vos actifs les plus exposés. Nous vous accompagnons dans le choix, la mise en œuvre et la gestion quotidienne de l’EDR adapté pour qu’il opère à 100 % de son potentiel.",46220.5,"Élevée sur l’offre déclarée ; le passage prouve l’accompagnement et la gestion quotidienne de l’EDR, pas une exploitation généralisée.",À valider
SRV-PUB-ADVENS-003,ENT-PUB-ADVENS-001,DEMANDE_MSP,,,,mySOC for IT (SIEM / NDR),SOC / MDR,opéré en propre,Offre publiée,,24/7 via mySOC déclaré,,,non établi,non établi,Normalisation; enrichissement; corrélation; algorithmes comportementaux,,non établie,non établi,Non établi,multi-secteurs,France; Europe selon déclaration Advens,Gatewatcher; Vectra; Microsoft Sentinel,SRC-PUB-ADVENS-002,"mySOC for IT centralise, enrichit et corrèle les données de vos équipements applicatifs, périmétriques et infrastructures. Nos analystes et ingénieurs en détection, augmentés par nos algorithmes comportementaux, vous accompagnent jusqu’à la résolution complète des incidents de sécurité.",46220.5,"Élevée sur l’offre déclarée ; usage, qualité et rentabilité non prouvés",À valider
SRV-PUB-ADVENS-004,ENT-PUB-ADVENS-001,DEMANDE_MSP,,,,mySOC for Cloud,SOC / MDR,non établi,Offre publiée,,24/7 via mySOC déclaré,,,non établi,non établi,Corrélation cloud et on-premise; plan de surveillance unique,,non établie,non établi,Secteur public,multi-secteurs,France; Europe selon déclaration Advens,environnements cloud non nommés dans le passage,SRC-PUB-ADVENS-002,C’est le rôle de mySOC for Cloud : vous redonner de la visibilité sur vos environnements Cloud publics et orchestrer un plan de surveillance unique avec vos environnements on-premise.,46220.5,Élevée sur l’offre déclarée ; la source ne permet pas d’établir qui opère techniquement le service.,À valider
SRV-PUB-ADVENS-005,ENT-PUB-ADVENS-001,DEMANDE_MSP,,,,mySOC for Vulnerabilities,Vulnérabilités / exposition,piloté pour le client,Offre publiée,,non établie,,,non établi,non établi,Orchestration de campagnes de scans; priorisation; suivi du backlog,,non établie,non établi,Non établi,multi-secteurs,France; Europe selon déclaration Advens,outils de scan non nommés dans le passage,SRC-PUB-ADVENS-002,"C’est le rôle de mySOC for Vulnerabilities : vous aider à identifier, prioriser et corriger vos failles les plus critiques.",46220.5,"Élevée sur l’offre déclarée ; usage, qualité et rentabilité non prouvés",À valider
SRV-PUB-ADVENS-006,ENT-PUB-ADVENS-001,DEMANDE_MSP,,,,mySOC for OT / IoT,OT / IoT,non établi,Offre publiée,,24/7 déclarée pour les sondes,,,non établi,non établi,Corrélation d’événements industriels dans un plan de surveillance,,non établie,non établi,Non établi,industrie; infrastructures critiques,France; Europe selon déclaration Advens,sondes OT dédiées non nommées dans le passage,SRC-PUB-ADVENS-002,C’est pour cela que mySOC for OT/IoT a été conçu : vous permettre de détecter et de réagir à ces incidents sans perturber la production.,46220.5,Élevée sur l’offre déclarée ; la source ne permet pas d’établir la frontière entre opération Advens et pilotage client.,À valider
SRV-PUB-ADVENS-007,ENT-PUB-ADVENS-001,DEMANDE_MSP,,,,SOC qualifié PDIS,SOC / MDR,opéré en propre,Offre publiée,,non établie dans la preuve de qualification,,,non établi,non établi,non établie pour le périmètre qualifié,,non établie,Qualification PDIS du 2025-08-21 au 2028-08-21,Entreprises — taille non établie,organisations critiques publiques et privées,France; Europe selon déclaration Advens,plateforme souveraine mySOC déclarée par Advens,SRC-PUB-ADVENS-004,"Avec cette qualification, Advens peut désormais proposer, en complément de son offre SOC-as-a-Service mySOC déjà reconnue sur le marché, un service dédié de SOC qualifié PDIS pour les organisations nécessitant le plus haut niveau de protection Cyber.",46220.5,"Élevée sur l’offre déclarée ; usage, qualité et rentabilité non prouvés",À valider
SRV-PUB-ADVENS-008,ENT-PUB-ADVENS-001,DEMANDE_MSP,,,,SOC mutualisé santé CAIH,SOC / MDR,co-délivré,Offre publiée,,24/7,,,mutualisation déclarée ; architecture multi-tenant non établie,non établi,non établie,,Prix unique; pas de frais de mise en service; abonnement annuel investigation/remédiation adapté à la taille,Marché du 2023-05-31 au 2027-05-30,Secteur public,santé; social; médico-social,France,EDR; NDR; protection de messagerie; protection de flotte mobile; autres sources alimentables,SRC-PUB-ADVENS-006,"Le marché est composé d’un lot unique, regroupant les services suivants : - Services managés 24/7 : EDR, NDR, protection de messagerie, protection de flotte mobile, audit et gestion de vulnérabilités...",46220.5,"Élevée sur le marché publié ; adoption, volumes et rentabilité non publics",À valider
SRV-PUB-TEKSORIA-001,ENT-PUB-TEKSORIA-001,DEMANDE_MSP,,,,Forfait Essentiel,Sauvegarde / PRA,opéré en propre,Offre publiée,,Helpdesk 5j/7 ; supervision et monitoring 24/7 déclarés,,,non établi,RMM déclaré ; outil non nommé,Alertes automatiques RMM et maintenance préventive déclarées,27 € HT,par mois et par poste,Durée d’un an déclarée ; résiliation à tout moment avec préavis de 30 jours — articulation à valider,TPE,multi-secteurs,Rhône-Alpes,RMM non nommé ; sauvegarde cloud non nommée,SRC-PUB-TEKSORIA-001,Essentiel Pour les petites structures qui veulent un IT fiable sans prise de tête. 27 € HT / mois / poste Support helpdesk illimité (5j/7) Supervision & monitoring 24/7 Maintenance préventive Sauvegarde Cloud quotidienne 1 To Jusqu'à 50 postes,46220.5,Élevée sur le catalogue et le prix affiché ; réalisation et facturation non vérifiées,À valider
SRV-PUB-TEKSORIA-002,ENT-PUB-TEKSORIA-001,DEMANDE_MSP,,,,Forfait Business,Cloud / collaboration,non établi,Offre publiée,,Support prioritaire 6j/7 ; supervision 24/7 héritée d’Essentiel,,,non établi,RMM déclaré via Essentiel ; PSA non établi,Supervision et alertes automatiques RMM déclarées via Essentiel,69 € HT,par mois et par poste,Durée d’un an déclarée ; résiliation à tout moment avec préavis de 30 jours — articulation à valider,PME,multi-secteurs,Rhône-Alpes,Microsoft 365 Business ; EDR non nommé ; SOC light ; Microsoft Azure ; PRA,SRC-PUB-TEKSORIA-001,"Business L'offre complète pour les PME en croissance. Sécurité renforcée et Cloud inclus. 69 € HT / mois / poste Tout Essentiel, plus : Support prioritaire 6j/7 Microsoft 365 Business — déploiement & gestion Cybersécurité avancée (EDR, SOC light) Infrastructure Cloud Azure managée PRA — Plan de reprise d'activité Audit de sécurité trimestriel Jusqu'à 250 postes",46220.5,Élevée sur le catalogue et le prix affiché ; mode de livraison cyber non établi,À valider
