id_signal,categorie,date_evenement,organisation_concernee,resume_neutre,id_source_exacte,reference_exacte,passage_justificatif,nature_information,niveau_confiance,niveau_confidentialite,droits_reutilisation,statut_validation,statut_doublon,statut_contradiction,date_extraction,extracteur,notes,perspective_corpus,theme,sous_theme,niveau_valeur,type_signal_demande,domaine_service,capacite_operationnelle,modele_economique,segment_client,horizon,auteur_idee,statut_public_ou_entretien
SIG-PUB-ESET-001,Acquisition / cession,46162,ESET,ESET a annoncé un projet de reprise des activités ESET France opérées par ATHENA Global Services.,SRC-PUB-ESET-001,01_sources_brutes/02_publiques_primaires/2026-05-20_ESET_eset-france-transition.html | Paragraphe d’ouverture,"ESET, acteur majeur de la cybersécurité en Europe et dans le monde, a annoncé son projet de reprise des activités ESET France actuellement opérées par ATHENA Global Services.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.66148851852,Codex,Nature précise=Fait annoncé | Auteur=ESET France | Thème=Stratégie | Sous-thème=Acquisition et implantation directe | Type de source=Publique primaire | Géographie=France — national | Utilité potentielle=Stratégie; go-to-market; channel; analyse concurrentielle | Décision qualité=À conserver — valeur analytique forte | Usages analytiques=stratégie; changement important; go-to-market,,,,,,,,,,,,
SIG-PUB-ESET-003,Changement organisationnel,46162,ESET,"Au 20 mai 2026, le rapprochement restait en finalisation, avec consultation du personnel et un objectif d’effet complet au 1er juillet 2026 selon Julien Jean.",SRC-PUB-ESET-001,01_sources_brutes/02_publiques_primaires/2026-05-20_ESET_eset-france-transition.html | Paragraphes sur le statut et le calendrier du projet,"Toutefois, ce rapprochement demeure à ce stade un projet en cours de finalisation. Le processus inclut notamment les procédures d’information et de consultation des Instances Représentatives du Personnel ainsi que la synchronisation des mécanismes opérationnels et organisationnels nécessaires à cette transition. « Ce rapprochement, actuellement à l’état de projet et en phase de finalisation, devrait être pleinement effectif à compter du 1er juillet 2026 », précise Julien JEAN.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.6601905787,Codex,Nature précise=Fait | Auteur=ESET France | Thème=Stratégie | Sous-thème=Processus de transition | Type de source=Publique primaire | Géographie=France — national | Utilité potentielle=Stratégie; communication; ventes; channel | Statut temporel=Projet au 20 mai 2026 | Fusion analytique=SIG-PUB-ESET-004 | Décision qualité=À conserver — valeur analytique forte | Usages analytiques=stratégie; changement organisationnel; communication,,,,,,,,,,,,
SIG-PUB-ESET-005,Changement organisationnel,46162,ESET,"ESET indiquait que les interlocuteurs, engagements commerciaux et l’organisation opérationnelle des partenaires et clients resteraient inchangés durant la transition.",SRC-PUB-ESET-001,01_sources_brutes/02_publiques_primaires/2026-05-20_ESET_eset-france-transition.html | Paragraphe sur la continuité,"Pour les partenaires et clients, les modalités de collaboration resteraient inchangées : les interlocuteurs habituels, les engagements commerciaux et l’organisation opérationnelle seraient préservés durant cette transition.",Interprétatif,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.6601905787,Codex,Nature précise=Déclaration institutionnelle | Auteur=ESET France | Thème=Channel | Sous-thème=Continuité partenaires et clients | Type de source=Publique primaire | Géographie=France — national | Utilité potentielle=Channel; ventes; communication; go-to-market | Décision qualité=À conserver — information de contexte | Usages analytiques=channel; ventes; communication,,,,,,,,,,,,
SIG-PUB-ESET-006,Positionnement,46162,ESET,Julien Jean déclare que le marché français est devenu le deuxième plus grand marché d’ESET en Europe.,SRC-PUB-ESET-001,01_sources_brutes/02_publiques_primaires/2026-05-20_ESET_eset-france-transition.html | Citation finale de Julien Jean,"« Nous sommes fiers du travail accompli aux côtés d’ESET depuis de nombreuses années. Voir aujourd’hui le marché français devenir le deuxième plus grand marché d’Europe est une véritable reconnaissance du travail accompli. Cette nouvelle étape offrira de belles perspectives de développement pour les équipes, les partenaires et les clients », conclut Julien JEAN.",Interprétatif,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.6601905787,Codex,Nature précise=Déclaration | Auteur=Julien Jean | Thème=Stratégie | Sous-thème=Rang du marché français | Type de source=Publique primaire | Géographie=France — national | Utilité potentielle=Stratégie; communication; analyse concurrentielle | Décision qualité=À conserver — valeur analytique forte | Usages analytiques=positionnement; analyse concurrentielle; marché,,,,,,,,,,,,
SIG-PUB-ESET-007,Investissement / R&D,46161,ESET,"ESET engage un investissement de 40 millions d’euros, soutenu par un plan de recrutement sur trois ans devant porter la R&D à 1 000 chercheurs et ingénieurs, autour de trois axes liés à l’IA cyber.",SRC-PUB-ESET-002,01_sources_brutes/02_publiques_primaires/2026-05-19_ESET_investissement-ia-agentique.html | Section sur le plan de recrutement et les trois axes,"Soutenu par un plan de recrutement sur trois ans portant l’équipe R&D d’ESET à 1 000 chercheurs et ingénieurs, l’investissement de 40 millions d’euros se concentrera sur trois axes stratégiques : modèles d’IA indépendants dédiés à la sécurité numérique Solutions complètes de défense en profondeur des briques d’IA Nouvelle génération de SOC boostés à l’IA",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.6601905787,Codex,"Nature précise=Fait | Auteur=ESET | Thème=Stratégie | Sous-thème=Investissement IA | Type de source=Publique primaire | Géographie=International | Utilité potentielle=Stratégie; produit; communication; analyse concurrentielle | Fusion analytique=SIG-PUB-ESET-008, SIG-PUB-ESET-009 | Décision qualité=À conserver — valeur analytique forte | Usages analytiques=stratégie; innovation; analyse concurrentielle",,,,,,,,,,,,
SIG-PUB-ESET-010,Investissement / R&D,46161,ESET,"Depuis mars 2026, ESET déclare avoir analysé près de 800 000 skills IA, en avoir signalé environ 25 000 comme suspects et bloqué plus de 3 000 comme malveillants.",SRC-PUB-ESET-002,01_sources_brutes/02_publiques_primaires/2026-05-19_ESET_investissement-ia-agentique.html | Troisième point clé,"Depuis mars 2026, ESET a analysé près de 800 000 skills IA uniques, en a signalé environ 25 000 comme suspectes et en a bloqué plus de 3 000 comme malveillantes.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.6601905787,Codex,Nature précise=Fait | Auteur=ESET | Thème=Produit | Sous-thème=Télémétrie sur les skills IA | Type de source=Publique primaire | Géographie=International | Utilité potentielle=Produit; marketing; communication; analyse concurrentielle | Mesure déclarée par l’éditeur | Fusion analytique=SIG-PUB-ESET-011 | Décision qualité=À conserver — information de contexte | Usages analytiques=signal faible; produit; communication,,,,,,,,,,,,
SIG-PUB-ESET-013,Positionnement,46161,ESET,Richard Marko présente l’IA comme une nouvelle surface d’attaque et relie l’investissement d’ESET à l’indépendance technologique et à la souveraineté européenne.,SRC-PUB-ESET-002,01_sources_brutes/02_publiques_primaires/2026-05-19_ESET_investissement-ia-agentique.html | Citations de Richard Marko et paragraphe sur la souveraineté,"« La cybersécurité entre dans une nouvelle ère », déclare Richard Marko, CEO d’ESET. « L’intelligence artificielle n’est plus seulement un outil de défense, elle devient elle-même une partie de la surface d’attaque. Notre investissement vise à faire en sorte que l’IA renforce la cybersécurité plutôt que de l’affaiblir. Nous développons des technologies capables de protéger les organisations dans un monde agentique. » Cette initiative vise à renforcer l’indépendance technologique d’ESET et la souveraineté européenne dans le domaine de la cybersécurité, alors que l’accès aux systèmes d’IA est de plus en plus concentré entre les mains d’un petit nombre de grandes entreprises technologiques mondiales.",Interprétatif,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.6601905787,Codex,Nature précise=Déclaration institutionnelle | Auteur=ESET | Thème=Stratégie | Sous-thème=Souveraineté technologique européenne | Type de source=Publique primaire | Géographie=Europe | Utilité potentielle=Stratégie; communication; marketing; analyse concurrentielle | Fusion analytique=SIG-PUB-ESET-012 | Décision qualité=À conserver — valeur analytique forte | Usages analytiques=positionnement; souveraineté; communication,,,,,,,,,,,,
SIG-PUB-ESET-014,Évolution d’offre,46161,ESET,ESET prévoit d’optimiser ses modèles IA de sécurité à partir de sa télémétrie et de ses renseignements sur les menaces accumulés sur 35 ans.,SRC-PUB-ESET-002,01_sources_brutes/02_publiques_primaires/2026-05-19_ESET_investissement-ia-agentique.html | Paragraphe sur les modèles IA,"Contrairement aux systèmes d’AI généralistes entraînés sur de larges contenus Internet, les modèles d’ESET seront optimisés à partir de la télémétrie et des renseignements sur les menaces (IOCs CTI) collectés au cours des 35 années d’existence de l’entreprise.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.6601905787,Codex,Nature précise=Fait | Auteur=ESET | Thème=Produit | Sous-thème=Données d’entraînement des modèles cyber | Type de source=Publique primaire | Géographie=International | Utilité potentielle=Produit; stratégie; marketing; analyse concurrentielle | Décision qualité=À conserver — valeur analytique forte | Usages analytiques=produit; stratégie IA; analyse concurrentielle,,,,,,,,,,,,
SIG-PUB-ESET-015,Partenariat,46156,ESET,"L’intégration d’ESET PROTECT à Sekoia Defend relie la protection des endpoints à la détection pilotée par l’IA, à la corrélation enrichie et à l’automatisation de la réponse.",SRC-PUB-ESET-003,01_sources_brutes/02_publiques_primaires/2026-05-14_ESET_integration-eset-sekoia.html | Paragraphe sur le fonctionnement de l’intégration,"L’intégration entre ESET PROTECT et Sekoia Defend associe ainsi la protection des endpoints aux capacités de détection pilotées par l’IA au sein d’un flux de travail unifié. En transférant la télémétrie et les alertes issues des endpoints d’ESET PROTECT vers Sekoia Defend, cette intégration permet une corrélation enrichie des données, l’application de mécanismes avancés de détection et l’automatisation des actions de réponse.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.6601905787,Codex,"Nature précise=Fait | Auteur=ESET France | Thème=Partenariats | Sous-thème=Intégration ESET-Sekoia | Type de source=Publique primaire | Géographie=Europe | Utilité potentielle=Stratégie; produit; channel; analyse concurrentielle | Fusion analytique=SIG-PUB-ESET-016, SIG-PUB-ESET-017 | Décision qualité=À conserver — valeur analytique forte | Usages analytiques=partenariats; produit; go-to-market",,,,,,,,,,,,
SIG-PUB-ESET-019,Partenariat,46156,ESET,ESET positionne l’intégration avec Sekoia dans une stratégie d’écosystème ouvert et de technologies de confiance conçues en Europe.,SRC-PUB-ESET-003,01_sources_brutes/02_publiques_primaires/2026-05-14_ESET_integration-eset-sekoia.html | Citation complète de Wolf Schumacher,"« Chez ESET, nos clients sont au cœur de toutes nos décisions. La création d’un écosystème de sécurité ouvert, en collaboration avec des partenaires partageant notre vision, constitue un élément clé de cet engagement », explique Wolf Schumacher, Vice-président des partenariats et alliances mondiaux chez ESET. « Les responsables de la sécurité, les SOC et les fournisseurs de services de sécurité managés (MSSP) sont constamment confrontés à la nécessité de simplifier leurs opérations sans compromettre leur visibilité ni leur niveau de protection. En intégrant ESET PROTECT à Sekoia Defend, nous associons notre expertise en télémétrie endpoint à forte valeur analytique aux capacités XDR avancées de Sekoia. Cette complémentarité permet d’offrir davantage de contexte, une réponse plus rapide et une gestion des menaces plus efficace. En tant qu’acteurs européens de la cybersécurité, nous sommes également fiers d’accompagner les organisations qui privilégient des technologies de confiance conçues en Europe. »",Interprétatif,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.6601905787,Codex,Nature précise=Déclaration | Auteur=Wolf Schumacher | Thème=Stratégie | Sous-thème=Écosystème ouvert | Type de source=Publique primaire | Géographie=International | Utilité potentielle=Stratégie; channel; communication; analyse concurrentielle | Fusion analytique=SIG-PUB-ESET-020 | Décision qualité=À conserver — valeur analytique forte | Usages analytiques=positionnement; channel; souveraineté,,,,,,,,,,,,
