id_entite,nom_canonique,type_organisation,pays,region_france,site_web,alias_identifiants,id_source_exacte,reference_exacte,date_information,organisation_concernee,passage_justificatif,nature_information,niveau_confiance,niveau_confidentialite,droits_reutilisation,statut_validation,doublon_contradiction,notes,perspective_corpus,role_chaine_valeur,categorie_msp_mssp_principale,categories_secondaires,statut_qualification_msp,preuve_statut,couverture_geographique,segments_cibles,secteurs_cibles,modele_livraison,soc_en_propre_declare
ENT-PUB-ESET-001,"ESET, spol. s r.o.",Éditeur cybersécurité,Slovaquie,,https://www.eset.com/,ESET,SRC-PUB-ESET-011,01_sources_brutes/03_publiques_secondaires/2026-05-19_ChannelNews_eset-athena.html | paragraphe d’ouverture,46161,ESET,l’éditeur slovaque de cybersécurité,Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pays fondé sur la source secondaire; à corroborer.,,,,,,,,,,,
ENT-PUB-ESET-002,ESET France,Éditeur cybersécurité,France,Île-de-France,https://www.eset.com/fr/,Activités ESET France,SRC-PUB-ESET-001,01_sources_brutes/02_publiques_primaires/2026-05-20_ESET_eset-france-transition.html | pied de page,46162,ESET France,"ESET France Serris, France",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité opérationnelle française.,,,,,,,,,,,
ENT-PUB-ESET-003,ATHENA Global Services,Distributeur / revendeur,France,,,ATHENA; AGS,SRC-PUB-ESET-001,01_sources_brutes/02_publiques_primaires/2026-05-20_ESET_eset-france-transition.html | paragraphe d’ouverture,46162,ESET France,activités ESET France actuellement opérées par ATHENA Global Services,Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Rôle d’opérateur/distributeur explicite; pays rattaché au périmètre français.,,,,,,,,,,,
ENT-PUB-ESET-004,Sekoia,Éditeur cybersécurité,,,https://www.sekoia.io/,Sekoia Defend,SRC-PUB-ESET-003,01_sources_brutes/02_publiques_primaires/2026-05-14_ESET_integration-eset-sekoia.html | paragraphe d’ouverture,46156,ESET / Sekoia,"Sekoia, acteur majeur de la détection et de la réponse aux menaces",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pays non renseigné faute de passage explicite sélectionné.,,,,,,,,,,,
ENT-PUB-ESET-005,Agentic AI Foundation,Association / groupement,,,,AAIF,SRC-PUB-ESET-009,01_sources_brutes/02_publiques_primaires/2026-04-02_ESET_securite-ia-entreprise.html | dernier paragraphe,46114,ESET,"au sein de l’Agentic AI Foundation, ESET contribue à la sécurisation des protocoles de communication des agents IA",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pays non renseigné.,,,,,,,,,,,
ENT-PUB-ESET-006,Go4Insight,Autre — à préciser,France,,,Institut d’étude cité,SRC-PUB-ESET-007,01_sources_brutes/02_publiques_primaires/2026-06-02_ESET_etude-pme-france.html | méthodologie,46175,ESET France,Étude réalisée en France par Go4Insight pour ESET,Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,"Type d’entité à valider; la source établit le rôle d’étude, pas la forme juridique.",,,,,,,,,,,
ENT-PUB-NOMIOS-001,Nomios SAS,Prestataire de services managés,France,Île-de-France,https://www.nomios.fr,Nomios,SRC-PUB-NOMIOS-001,https://www.nomios.fr/actualite/nomios-csirt/ | Archive 2026-03-16_Nomios_csirt.html,46218.25,Nomios SAS,"Boulogne-Billancourt, le 16 mars 2026 – Nomios, l’un des principaux fournisseurs européens de solutions et services de cybersécurité, annonce le lancement de son service CSIRT (Computer Security Incident Response Team). Cette nouvelle offre de service vient compléter son dispositif existant en matière de gouvernance, d’intégration de solutions de sécurité et de SOC managé, afin de proposer aux entreprises une capacité d’intervention dédiée lors d’une attaque et dans les situations de crise les plus critiques.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-002,Intragen,Prestataire de services managés,Royaume-Uni,,https://www.intragen.com,,SRC-PUB-NOMIOS-005,https://www.nomios.fr/actualite/nomios-intragen/ | Archive 2025-10-09_Nomios_intragen.html,46218.25,Intragen,"Paris, le 9 octobre 2025 - Nomios, spécialiste paneuropéen des services de cybersécurité, annonce l'acquisition d'Intragen, spécialiste primé dans le domaine de la gestion des identités et des accès. Cette transaction, soutenue par Keensight Capital, marque une étape importante dans la stratégie de croissance de Nomios et renforce encore sa position de partenaire de confiance en cybersécurité en Europe.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-003,Keensight Capital,Investisseur / fonds,France,Île-de-France,https://www.keensightcapital.com,,SRC-PUB-NOMIOS-005,https://www.nomios.fr/actualite/nomios-intragen/ | Archive 2025-10-09_Nomios_intragen.html,46218.25,Keensight Capital,"Paris, le 9 octobre 2025 - Nomios, spécialiste paneuropéen des services de cybersécurité, annonce l'acquisition d'Intragen, spécialiste primé dans le domaine de la gestion des identités et des accès. Cette transaction, soutenue par Keensight Capital, marque une étape importante dans la stratégie de croissance de Nomios et renforce encore sa position de partenaire de confiance en cybersécurité en Europe.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
ENT-PUB-NOMIOS-004,CANUT,Association / groupement,France,,https://www.canut.org,Centrale d’Achat du Numérique et des Télécoms,SRC-PUB-NOMIOS-004,https://www.nomios.fr/actualite/nomios-canut/ | Archive 2025-10-20_Nomios_canut-reseau.html,46218.25,CANUT,"Grâce à l’accord-cadre de la CANUT « Réseaux sécurisés et câblage », Nomios va ainsi proposer la vente, l’intégration et les services managés de son partenaire technologique, Palo Alto Networks, autour de la suite de sécurité réseau Palo Alto Networks Strata et Prisma SASE.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Entité explicitement nommée dans la source.,,,,,,,,,,,
