id_relation,entite_source,type_relation,entite_cible,date_debut,date_fin,organisation_concernee,id_source_exacte,reference_exacte,passage_justificatif,nature_information,niveau_confiance,niveau_confidentialite,droits_reutilisation,statut_validation,statut_doublon,statut_contradiction,date_extraction,notes,id_entite_source,id_entite_cible,statut_relation,date_derniere_preuve,service_concerne,technologie_concernee,exclusivite_declaree,perspective_corpus
REL-PUB-ESET-001,"ESET, spol. s r.o.",Acquéreur → cible,ATHENA Global Services,46161,,ESET France,SRC-PUB-ESET-011,01_sources_brutes/03_publiques_secondaires/2026-05-19_ChannelNews_eset-athena.html | paragraphe d’ouverture,"l’éditeur slovaque de cybersécurité a annoncé, ce mardi 19 mai, un projet d’acquisition d’Athena Global Services, son distributeur exclusif depuis plus de vingt ans sur le territoire national.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.66148851852,Projet annoncé; réalisation effective à vérifier.,,,,,,,,
REL-PUB-ESET-002,ATHENA Global Services,Distributeur → éditeur,"ESET, spol. s r.o.",,,ESET France,SRC-PUB-ESET-011,01_sources_brutes/03_publiques_secondaires/2026-05-19_ChannelNews_eset-athena.html | paragraphe d’ouverture,"Athena Global Services, son distributeur exclusif depuis plus de vingt ans sur le territoire national.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.6601905787,Type de relation proposé — à valider.,,,,,,,,
REL-PUB-ESET-003,"ESET, spol. s r.o.",Partenaire ↔ partenaire,Sekoia,46156,,ESET / Sekoia,SRC-PUB-ESET-003,01_sources_brutes/02_publiques_primaires/2026-05-14_ESET_integration-eset-sekoia.html | paragraphe d’ouverture,"ESET, éditeur de référence en solutions et services de cybersécurité, annonce aujourd’hui l’intégration de ses technologies avec celles de Sekoia, acteur majeur de la détection et de la réponse aux menaces, afin de renforcer la posture de sécurité des organisations.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.6601905787,Relation limitée à l’intégration explicitement annoncée.,,,,,,,,
REL-PUB-ESET-004,"ESET, spol. s r.o.",Membre → groupement,Agentic AI Foundation,,,ESET,SRC-PUB-ESET-009,01_sources_brutes/02_publiques_primaires/2026-04-02_ESET_securite-ia-entreprise.html | dernier paragraphe,"Enfin, au sein de l’Agentic AI Foundation, ESET contribue à la sécurisation des protocoles de communication des agents IA.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.6601905787,Nature exacte de l’adhésion non précisée dans ce passage.,,,,,,,,
REL-PUB-ESET-005,Go4Insight,Prestataire d’étude → commanditaire,"ESET, spol. s r.o.",46070,46083,ESET France,SRC-PUB-ESET-007,01_sources_brutes/02_publiques_primaires/2026-06-02_ESET_etude-pme-france.html | méthodologie,Étude réalisée en France par Go4Insight pour ESET auprès de 500 organisations de 25 à 1 000 endpoints.,Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46216.6601905787,Type de relation proposé — à valider.,,,,,,,,
REL-PUB-NOMIOS-001,Nomios SAS,Acquéreur → cible,Intragen,,,Nomios SAS,SRC-PUB-NOMIOS-005,https://www.nomios.fr/actualite/nomios-intragen/ | Archive 2025-10-09_Nomios_intragen.html,"Paris, le 9 octobre 2025 - Nomios, spécialiste paneuropéen des services de cybersécurité, annonce l'acquisition d'Intragen, spécialiste primé dans le domaine de la gestion des identités et des accès. Cette transaction, soutenue par Keensight Capital, marque une étape importante dans la stratégie de croissance de Nomios et renforce encore sa position de partenaire de confiance en cybersécurité en Europe.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.25,Acquisition annoncée; clôture juridique à confirmer.,,,,,,,,
REL-PUB-NOMIOS-002,Keensight Capital,Investisseur → cible,Nomios SAS,,,Keensight Capital,SRC-PUB-NOMIOS-005,https://www.nomios.fr/actualite/nomios-intragen/ | Archive 2025-10-09_Nomios_intragen.html,"Paris, le 9 octobre 2025 - Nomios, spécialiste paneuropéen des services de cybersécurité, annonce l'acquisition d'Intragen, spécialiste primé dans le domaine de la gestion des identités et des accès. Cette transaction, soutenue par Keensight Capital, marque une étape importante dans la stratégie de croissance de Nomios et renforce encore sa position de partenaire de confiance en cybersécurité en Europe.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.25,La source qualifie Keensight d’actionnaire majoritaire.,,,,,,,,
REL-PUB-NOMIOS-003,Intragen,Partenaire ↔ partenaire,CyberArk,,,Intragen,SRC-PUB-NOMIOS-005,https://www.nomios.fr/actualite/nomios-intragen/ | Archive 2025-10-09_Nomios_intragen.html,"L'intégration d'Intragen renforce encore l'offre de Nomios grâce à son expertise de pointe dans le domaine de l'identité numérique et de la gestion des accès à privilèges (PAM). Intragen est partenaire de CyberArk, SailPoint, One Identity et Okta.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.25,Relation technologique explicitement citée.,,,,,,,,
REL-PUB-NOMIOS-004,Intragen,Partenaire ↔ partenaire,SailPoint,,,Intragen,SRC-PUB-NOMIOS-005,https://www.nomios.fr/actualite/nomios-intragen/ | Archive 2025-10-09_Nomios_intragen.html,"L'intégration d'Intragen renforce encore l'offre de Nomios grâce à son expertise de pointe dans le domaine de l'identité numérique et de la gestion des accès à privilèges (PAM). Intragen est partenaire de CyberArk, SailPoint, One Identity et Okta.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.25,Relation technologique explicitement citée.,,,,,,,,
REL-PUB-NOMIOS-005,Intragen,Partenaire ↔ partenaire,One Identity,,,Intragen,SRC-PUB-NOMIOS-005,https://www.nomios.fr/actualite/nomios-intragen/ | Archive 2025-10-09_Nomios_intragen.html,"L'intégration d'Intragen renforce encore l'offre de Nomios grâce à son expertise de pointe dans le domaine de l'identité numérique et de la gestion des accès à privilèges (PAM). Intragen est partenaire de CyberArk, SailPoint, One Identity et Okta.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Pas de contradiction détectée,46218.25,Relation technologique explicitement citée.,,,,,,,,
